MS4525_Raw_P,MS4525_Raw_T,SHT30_1_Raw_T,SHT30_1_Raw_H,SHT30_2_Raw_T,SHT30_2_Raw_H,DS18B20_Temps,FL808_Flow_Rate_LPM,Timestamp
8193,739,None,None,None,None,None,None,1764880525.9511511
None,None,24846,35480,24866,35569,None,None,1764880525.951237
8196,739,None,None,None,None,None,None,1764880526.0514235
None,None,24846,35488,24871,35521,None,None,1764880526.051482
8193,738,None,None,None,None,None,None,1764880526.1516993
None,None,24846,35503,24876,35554,None,None,1764880526.151793
8193,738,None,None,None,None,None,None,1764880526.2519913
None,None,24841,35464,24866,35560,None,None,1764880526.252055
8193,739,None,None,None,None,None,None,1764880526.3522508
None,None,24846,35488,24871,35521,None,None,1764880526.3523474
8192,739,None,None,None,None,None,None,1764880526.452568
None,None,24851,35467,24871,35537,None,None,1764880526.4526608
8192,738,None,None,None,None,None,None,1764880526.552882
None,None,24841,35503,24866,35527,None,None,1764880526.5529726
8192,738,None,None,None,None,None,None,1764880526.6531506
None,None,24846,35473,24871,35554,None,None,1764880526.6532094
8193,738,None,None,None,None,None,None,1764880526.7533925
None,None,24846,35465,24860,35534,None,None,1764880526.753481
8193,739,None,None,None,None,None,None,1764880526.8536935
None,None,24841,35479,24871,35528,None,None,1764880526.8537858
8192,739,None,None,None,None,None,None,1764880526.9540114
None,None,24841,35503,24871,35521,None,None,1764880526.954103
None,None,None,None,None,None,"([21.5625, 21.1875, 21.6875], ['0725803e0940', '0725802957ca', '072580357fff'])",None,1764880526.95416
8192,738,None,None,None,None,None,None,1764880527.0543532
None,None,24846,35488,24860,35510,None,None,1764880527.0544062
8193,738,None,None,None,None,None,None,1764880527.1546052
None,None,24841,35479,24866,35560,None,None,1764880527.1547008
8193,738,None,None,None,None,None,None,1764880527.254909
None,None,24851,35482,24871,35521,None,None,1764880527.2549975
8192,738,None,None,None,None,None,None,1764880527.3551838
None,None,24841,35456,24876,35539,None,None,1764880527.3552666
8192,738,None,None,None,None,None,None,1764880527.4554422
None,None,24846,35480,24866,35536,None,None,1764880527.4555175
8193,738,None,None,None,None,None,None,1764880527.555664
None,None,24841,35464,24871,35545,None,None,1764880527.5557125
8193,738,None,None,None,None,None,None,1764880527.6558955
None,None,24836,35470,24876,35539,None,None,1764880527.6559815
8193,739,None,None,None,None,None,None,1764880527.756198
None,None,24846,35456,24866,35519,None,None,1764880527.7562828
8193,739,None,None,None,None,None,None,1764880527.856475
None,None,24846,35473,24866,35512,None,None,1764880527.856549
8193,738,None,None,None,None,None,None,1764880527.9567468
None,None,24841,35471,24871,35545,None,None,1764880527.9569569
8192,738,None,None,None,None,None,None,1764880528.057181
None,None,24846,35449,24866,35536,None,None,1764880528.0573816
8192,739,None,None,None,None,None,None,1764880528.1575916
None,None,24846,35473,24871,35537,None,None,1764880528.1578023
8193,739,None,None,None,None,None,None,1764880528.2580357
None,None,24857,35491,24871,35537,None,None,1764880528.2582328
8192,739,None,None,None,None,None,None,1764880528.358425
None,None,24851,35482,24871,35504,None,None,1764880528.3584883
8193,738,None,None,None,None,None,None,1764880528.4586875
None,None,24846,35465,24876,35546,None,None,1764880528.4588912
8193,738,None,None,None,None,None,None,1764880528.5592027
None,None,24841,35479,24871,35521,None,None,1764880528.559417
8193,739,None,None,None,None,None,None,1764880528.6597338
None,None,24846,35456,24876,35554,None,None,1764880528.6599338
8192,739,None,None,None,None,None,None,1764880528.7602036
None,None,24841,35486,24876,35530,None,None,1764880528.7602713
8192,738,None,None,None,None,None,None,1764880528.860461
None,None,24851,35482,24866,35543,None,None,1764880528.8607092
8193,738,None,None,None,None,None,None,1764880528.9610171
None,None,24846,35465,24871,35521,None,None,1764880528.9612322
8193,739,None,None,None,None,None,None,1764880529.061555
None,None,24851,35474,24871,35528,None,None,1764880529.0617497
8192,739,None,None,None,None,None,None,1764880529.162037
None,None,24851,35497,24871,35528,None,None,1764880529.1622348
8192,739,None,None,None,None,None,None,1764880529.2624338
None,None,24846,35441,24871,35497,None,None,1764880529.2626283
8192,738,None,None,None,None,None,None,1764880529.3629096
None,None,24846,35480,24876,35539,None,None,1764880529.362974
None,None,None,None,None,None,"([21.5625, 21.1875, 21.6875], ['0725803e0940', '0725802957ca', '072580357fff'])",None,1764880529.3630075
8193,738,None,None,None,None,None,None,1764880529.4632127
None,None,24851,35489,24871,35528,None,None,1764880529.4633062
8193,739,None,None,None,None,None,None,1764880529.5635457
None,None,24846,35456,24871,35504,None,None,1764880529.5636404
8192,739,None,None,None,None,None,None,1764880529.6638498
None,None,24851,35450,24871,35554,None,None,1764880529.6639478
8193,738,None,None,None,None,None,None,1764880529.7641592
None,None,24857,35452,24871,35537,None,None,1764880529.7642539
8192,738,None,None,None,None,None,None,1764880529.8644402
None,None,24851,35458,24876,35530,None,None,1764880529.8645022
8192,738,None,None,None,None,None,None,1764880529.964812
None,None,24851,35443,24866,35543,None,None,1764880529.965015
